Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,VALiDATe29 atlas coordinates,VALiDATe29 atlas coordinates,VALiDATe29 atlas coordinates,VALiDATe29 atlas coordinates,VALiDATe29 atlas coordinates
Cluster,# Voxels,P,Z-MAX,X (mm),Y (mm),Z (mm),Brain regions
Cocaine > control,Cocaine > control,Cocaine > control,Cocaine > control,Cocaine > control,Cocaine > control,Cocaine > control,Cocaine > control
20,549,6.33E−24,11.4,−1.69,7.26,14.6,"Supplementary Motor Area, dorsal premotor, primary motor cortex, medial parietal area"
19,339,3.27E−17,10.1,−0.694,−21.6,7.11,Visual areas
18,322,1.29E−16,6.01,−5.66,−14.6,−5.05,Visual areas
17,224,6.16E−13,5.68,1.29,6.26,−6.92,"Nucleus accumbens, medial, lateral, ventral septum"
16,173,8.23E−11,7.25,6.26,18.2,7.11,"(R) prefrontal areas (lateral PFC, dorsal PFC, ventral PFC, lateral/medial OFC)"
15,90,8.34E−07,5.32,−8.64,16.2,2.44,(L) dorsal/ventral PFC
14,58,5.85E−05,6.74,4.27,−10.6,6.18,(R) medial superior temporal area
13,56,7.82E−05,4.67,2.29,−4.67,−0.371,Cerebellum/visual areas
12,47,0.000303,7.18,−4.67,17.2,9.92,"(L) lateral, dorsal PFC"
11,35,0.00212,4.52,14.2,−14.6,−6.92,(R) visual area
10,31,0.00426,4.53,4.27,23.2,6.18,(R) dorsal/ventral PFC
9,29,0.0061,5.09,8.25,−2.68,2.44,(R) medial superior temporal area
8,28,0.00732,5.08,−0.694,1.29,−6.92,(B) visual areas
7,24,0.0155,4.59,−4.67,13.2,−4.11,(L) nucleus accumbens
6,23,0.0188,5.84,−9.64,−6.66,−9.72,Brainstem
5,22,0.0229,6.21,−0.694,23.2,5.24,(R) mOFC
4,21,0.028,5.21,−5.66,−19.6,4.31,(L) visual areas
3,21,0.028,6.62,−3.68,14.2,6.18,"(L) dorso-lateral prefrontal area, arcuate sulcus"
2,21,0.028,4.77,−14.6,11.2,−3.18,(L) ventral premotor area (?)
1,19,0.0419,5.05,13.2,−7.65,8.05,(R) temporo-parietal area
Cocaine < control,Cocaine < control,Cocaine < control,,,,,
10,691,5.67E−28,15.5,−1.69,11.2,8.98,Cingulate
9,161,2.78E−10,7.74,−13.6,1.29,4.31,(L) Somatosensory
8,128,9.40E−09,5.43,7.26,−23.5,0.565,(R) visual area
7,115,5.96E−08,6.66,−8.64,−19.6,−0.371,(L) visual area
6,43,0.000568,6.62,17.2,2.29,−3.18,(R) Area 44 - IFG
5,33,0.003,7.61,−17.6,−0.694,−1.31,(L) ventral premotor
4,30,0.0051,8.6,−1.69,22.2,9.92,mPFC
3,29,0.0061,7.86,−17.6,7.26,3.37,(L) superior temporal sulcus
2,24,0.0155,5.38,0.3,−0.694,1.5,PAG
1,23,0.0188,7.05,13.2,11.2,7.11,(R) Dorsal premotor
