MAP parameters,Brain regions,BA,MNI,MNI,MNI,t-value,Voxels
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,X,Y,Z,Unnamed: 6_level_1,Unnamed: 7_level_1
MAP-MSD,PHG.L,28,−14,−26,−52,4.43,283
,PHG.R,35,26,−14,−30,5.29,119
,HIP.L,−,−30,−10,−16,4.46,83
,PUT.L,34,−28,2,−14,4.73,97
,MFG.R,10,44,58,12,4.37,188
,TPOsup.L,22,−58,10,0,4.51,71
,ROL.L,13,−44,−4,2,5.65,"1,140"
,SFGmed.R,9,4,56,38,4.01,169
MAP-NG,THA.R,−,8,−18,12,−4.13,109
,ROL.L,13,−38,−2,20,−4.58,178
MAP-NGAx,MFG.R,46,48,54,8,4.12,87
,THA.R,−,8,−18,12,−4.20,126
,ROL.L,13,−38,−2,20,−4.77,218
MAP-NGRad,MFG.R,10,48,54,8,4.05,77
,THA.R,−,16,−18,14,−4.09,75
,INS.L,13,−38,−2,18,−4.09,74
MAP-QIV,PHG.L,35,−14,−18,−48,4.37,395
,PHG.R,35,26,−12,−32,4.50,75
,HIP.L,35,−30,−10,−16,4.32,70
,PUT.L,34,−28,2,−12,5.23,89
,MFG.R,10,44,58,12,4.34,78
,ROL.L,13,−36,−2,16,5.54,884
MAP-RTAP,AMYG.L,34,−26,4,−16,−5.35,91
,FFG.L,36,−22,−40,−12,−5.51,82
,ROL.L,13,−42,−6,2,−5.50,994
MAP-RTOP,AMYG.L,34,−26,4,−16,−5.08,122
,FFG.L,36,−22,−40,−12,−5.12,86
,ROL.L,13,−42,−4,2,−5.44,"1,009"
,THA.L,−,−14,−24,2,−3.80,65
,THA.R,−,10,−18,6,−4.42,91
MAP-RTPP,MFG.R,10,48,54,8,4.17,90
,PHG.R,35,26,−16,−28,−4.82,98
,PHG.L,28,−22,−16,−26,−4.68,130
,THA.R,27,10,−26,−8,−4.51,449
,HIP.R,13,40,−22,−6,−4.329,73
,INS.L,13,−44,−4,2,−5.78,835
,INS.R,13,32,−20,26,−3.96,82
,ACG.R,24,6,24,20,−4.98,77
