Brain Atlas,Input Graph,Performance,Performance,Performance,Performance,Performance,Performance
Brain Atlas,Input Graph,Accuracy (%),AUC (%),Sensitivity (%),Specificity (%),F1-score (%),Precision (%)
AAL,GMM & sMRI,73.3,66.0,47.6,89.1,56.6,81.6
AAL,GMM & fMRI,74.9,68.0,57.5,86.1,62.7,77.4
AAL,GMM & sMRI + fMRI,76.4,72.1,51.5,92.0,62.2,82.2
AAL,FBM & sMRI,71.8,67.0,49.3,86.0,57.3,72.7
AAL,FBM & fMRI,92.4,93.6,87.4,95.1,89.3,92.1
AAL,FBM & sMRI + fMRI,95.8,96.4,94.8,96.2,94.6,94.6
AAL,GMM-FBM & sMRI,72.2,66.7,61.7,78.0,64.7,70.2
AAL,GMM-FBM & fMRI,94.0,96.2,91.7,95.2,92.7,94.2
AAL,GMM-FBM & sMRI + fMRI,91.1,93.0,84.5,95.3,88.3,93.7
BNA,GMM & sMRI,78.2,94.5,77.3,78.0,71.9,79.5
BNA,GMM & fMRI,74.7,71.8,70.5,76.5,68.3,69.6
BNA,GMM & sMRI + fMRI,76.7,73.1,62.0,86.0,67.1,76.6
BNA,FBM & sMRI,75.1,71.7,63.4,82.2,66.4,72.7
BNA,FBM & fMRI,92.9,92.5,89.3,95.1,90.6,92.7
BNA,FBM & sMRI + fMRI,94.2,95.0,94.0,94.4,92.7,92.3
BNA,GMM-FBM & sMRI,74.2,68.9,56.9,86.0,63.5,79.3
BNA,GMM-FBM & fMRI,90.0,93.7,82.2,95.7,86.3,92.8
BNA,GMM-FBM & sMRI + fMRI,93.3,94.9,92.9,93.8,92.1,91.6
