ROI,mReHo (Mean ± SD),mReHo (Mean ± SD),T,P
ROI,Pre-TMS,Post-TMS,T,P
Double-targets,Double-targets,Double-targets,Double-targets,Double-targets
dACC,1.00 ± 0.21,1.01 ± 0.18,0.106,0.917
rMFG,1.18 ± 0.27,1.18 ± 0.22,-0.010,0.992
rIPL,1.31 ± 0.36,1.32 ± 0.37,0.276,0.785
rMFG-target,rMFG-target,rMFG-target,rMFG-target,rMFG-target
dACC,1.09 ± 0.21,1.03 ± 0.20,-3.389,0.003**
rMFG,1.16 ± 0.26,1.21 ± 0.25,1.260,0.220
rIPL,1.30 ± 0.32,1.36 ± 0.35,2.133,0.044*
rIPL-target,rIPL-target,rIPL-target,rIPL-target,rIPL-target
dACC,1.02 ± 0.22,1.01 ± 0.16,-0.400,0.693
rMFG,1.21 ± 0.28,1.20 ± 0.27,-0.301,0.766
rIPL,1.34 ± 0.30,1.30 ± 0.33,-0.809,0.427
Sham,Sham,Sham,Sham,Sham
dACC,1.04 ± 0.18,1.01 ± 0.19,-1.084,0.289
rMFG,1.26 ± 0.21,1.21 ± 0.28,-1.720,0.099
rIPL,1.27 ± 0.30,1.32 ± 0.32,1.510,0.145
