ROI,Peak location (AAL-90),No. of voxels,Peak t-value,Peak coordinate in MNI space,Peak coordinate in MNI space,Peak coordinate in MNI space,Included other regions,PPI-parameter (β value) (mean ± SEM),PPI-parameter (β value) (mean ± SEM)
Unnamed: 0_level_1,Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,X,Y,Z,Unnamed: 7_level_1,PDM,Ctrl
ISE-INCL (PDM-Ctrl),,,,,,,,,
ACC.L,,198.0,3.659,9,–18,–33,"Brainstem, CER4_5.L",0.571 ± 0.312,–1.095 ± 0.35
ACC.R,,,,,,,,,
ACC,,208.0,3.678,9,–18,–33,"Brainstem, PHIPP.R, AMYG.R, HIPP.R",0.63 ± 0.309,–1.08 ± 0.356
ESE-ISE (PDM-Ctrl),,,,,,,,,
ACC.L/ACC.R/ACC,,,,,,,,,
ESE-INCL (PDM-Ctrl),,,,,,,,,
ACC.L,PHIPP.L,770.0,4.292,–15,0,–29,"INS.L, HIPP.L, PHIPP.R",–1.511 ± 0.251,–3.21 ± 0.292
,IFGtriang.R,556.0,3.897,39,33,18,"MFG.R, PUT.R, CAU.R, ACC.R, INS.R",–2.653 ± 0.312,–4.382 ± 0.365
,THA.R,1076.0,3.94,6,–12,20,"MCC.L, MFG.L, SFG.L, MCC.R, SFG.R, SMA.R, PreCG.L",–2.744 ± 0.348,–4.561 ± 0.344
ACC.R,,579.0,4.484,–15,–15,–30,"HIPP.L, PHIPP.L,",–1.119 ± 0.226,–2.652 ± 0.267
,IFGtriang.R,287.0,4.057,39,33,18,"MFG.R, IFGoperc.R, INS.R, PreCG.R",–2.498 ± 0.323,–4.228 ± 0.34
,HIPP.R,241.0,3.839,30,–36,0,"THA.R, THA.L, CAU.L",–2.727 ± 0.311,–4.262 ± 0.278
,SFG.R,261.0,3.497,18,24,42,"MCC.L, MFG.L, SFG.L, SMA.R",–2.885 ± 0.399,–4.771 ± 0.349
ACC,,652.0,4.478,–15,–15,–30,"HIPP.L, PHIPP.L, PHIPP.R,",–1.14 ± 0.227,–2.672 ± 0.269
,MFG.R,489.0,4.21,42,33,21,"IFGtriang.R, IFGoperc.R, INS.R, PreCG.R",–2.489 ± 0.313,–4.24 ± 0.355
,HIPP.R,391.0,3.934,30,–36,0,"THA.R, THA.L, CAU.R, CAU.L",–2.707 ± 0.311,–4.305 ± 0.308
