Brain regions,Laterality,Cluster size (voxels),t‐value,Peak MNI coordinate (mm),Peak MNI coordinate (mm),Peak MNI coordinate (mm)
Brain regions,Laterality,Cluster size (voxels),t‐value,x,y,z
Right habenular nucleus,Right habenular nucleus,Right habenular nucleus,Right habenular nucleus,Right habenular nucleus,Right habenular nucleus,Right habenular nucleus
TRD > controls,TRD > controls,TRD > controls,TRD > controls,TRD > controls,TRD > controls,TRD > controls
Medial superior frontal gyrus,L,248,5.148,−10,40,32
Medial orbitofrontal Gyrus,L,77,4.405,−8,56,−4
Anterior cingulate cortex,L,36,3.697,−10,46,6
Controls > TRD,Controls > TRD,Controls > TRD,Controls > TRD,Controls > TRD,Controls > TRD,Controls > TRD
Corpus callosum,L,60,−6.029,−10,−38,18
Left habenular nucleus,Left habenular nucleus,Left habenular nucleus,Left habenular nucleus,Left habenular nucleus,Left habenular nucleus,Left habenular nucleus
TRD > controls,TRD > controls,TRD > controls,TRD > controls,TRD > controls,TRD > controls,TRD > controls
Inferior temporal gyrus,R,74,6.682,52,−10,−42
Controls > TRD,Controls > TRD,Controls > TRD,Controls > TRD,Controls > TRD,Controls > TRD,Controls > TRD
Insular,R,117,−4.459,50,8,−8
