Variable,HC,ALSni,ALSci,ALS-FTD
N,69,68,21,8
Site (HRO/MD),41/28,23/44,10/11,4/4
Sex (f/m),28/41,24/44,4/17,4/4
Handedness (R/L/A),62/5/2,63/4/0/1 missing,18/2/0/1 missing,7/0/0/1 missing
Age (years),59.73 (10.92),58.41 (9.88),64.95 (11.73)*,65.00 (7.05)
Education (years),13.64 (1.95),13.36 (2.61),12.19 (1.72),12.75 (2.44)
Verbal IQ,106.10 (7.95),102.68 (10.95),94.00 (8.42)**,94.13 (14.02)*
Disease duration (months),–,36.20 (45.75),39.50 (63.09),33.14 (36.75)
ALSFRS-R,–,37.74 (6.20),38.14 (5.18),39.50 (7.45)
MoCa Index,,0.87 (0.08),0.75 (0.12)***,0.66 (0.15)***
TMT B/A,,2.39 (0.96),2.75 (1.37),3.42 (1.66)*
Onset Type (spinal/bulbar),,38/17/13 uncertain,12/5/4 uncertain,2/4/2 uncertain
Genetic variant,,,,
SOD1,,2,0,0
C9orf72,,1,1,1
VAPB (ALS8),,1,0,0
